dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
EOGHorizontalSignal_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_9,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EOGVerticalSignal_normal_1,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
EOGVerticalSignal_normal_10,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EOGVerticalSignal_normal_11,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGVerticalSignal_normal_12,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGVerticalSignal_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EOGVerticalSignal_normal_3,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGVerticalSignal_normal_4,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EOGVerticalSignal_normal_5,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGVerticalSignal_normal_6,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGVerticalSignal_normal_7,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGVerticalSignal_normal_8,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EOGVerticalSignal_normal_9,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Earthquakes_normal_0,350,0,0,0,7,0.0,0.0,0.0,4,0,4,0,0,0,0.0
Earthquakes_normal_1,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
ElectricDevices_normal_1,1400,17,17,0,11,1.0,0.6071428571428571,0.7555555555555555,0,0,0,0,0,0,0.7555555555555555
ElectricDevices_normal_2,4250,46,43,3,42,0.9347826086956522,0.5058823529411764,0.6564885496183206,7,5,2,0,0,0,0.6956521739130435
ElectricDevices_normal_3,1600,18,18,0,14,1.0,0.5625,0.72,0,0,0,0,0,0,0.72
ElectricDevices_normal_4,2650,7,7,0,46,1.0,0.1320754716981132,0.23333333333333334,7,6,1,0,0,0,0.3880597014925373
ElectricDevices_normal_5,4350,2,2,0,85,1.0,0.022988505747126436,0.0449438202247191,3,3,0,0,0,0,0.10869565217391304
ElectricDevices_normal_6,1250,12,11,1,14,0.9166666666666666,0.44,0.5945945945945946,0,0,0,0,0,0,0.5945945945945946
ElectricDevices_normal_7,1300,8,8,0,18,1.0,0.3076923076923077,0.47058823529411764,3,3,0,0,0,0,0.5945945945945946
EthanolLevel_normal_1,250,1,0,1,5,0.0,0.0,0.0,1,0,1,0,0,0,0.0
EthanolLevel_normal_2,250,1,0,1,5,0.0,0.0,0.0,3,0,3,0,0,0,0.0
EthanolLevel_normal_3,250,1,0,1,5,0.0,0.0,0.0,2,0,2,0,0,0,0.0
EthanolLevel_normal_4,250,1,0,1,5,0.0,0.0,0.0,3,0,3,0,0,0,0.0
FaceAll_normal_1,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
FaceAll_normal_10,100,0,0,0,2,0.0,0.0,0.0,3,2,1,0,0,0,0.8
FaceAll_normal_11,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
